Date,frequency,factor_name,factor_value
2017/03/31,MONTHLY,CurveChg,-0.07
2017/04/30,MONTHLY,CurveChg,-0.29
2017/05/31,MONTHLY,CurveChg,-0.01
2017/06/30,MONTHLY,CurveChg,-0.24
2017/07/31,MONTHLY,CurveChg,0.02
2017/08/31,MONTHLY,CurveChg,-0.12
2017/09/30,MONTHLY,CurveChg,0
2017/10/31,MONTHLY,CurveChg,0.16
2017/11/30,MONTHLY,CurveChg,-0.02
2017/12/31,MONTHLY,CurveChg,-0.09
2018/01/31,MONTHLY,CurveChg,0.07
2018/02/28,MONTHLY,CurveChg,0.27
2018/03/31,MONTHLY,CurveChg,-0.11
2018/04/30,MONTHLY,CurveChg,-0.15
2018/05/31,MONTHLY,CurveChg,0.1
2018/06/30,MONTHLY,CurveChg,-0.19
2018/07/31,MONTHLY,CurveChg,-0.11
2018/08/31,MONTHLY,CurveChg,0
2018/09/30,MONTHLY,CurveChg,0.07
2018/10/31,MONTHLY,CurveChg,-0.09
2018/11/30,MONTHLY,CurveChg,-0.04
2018/12/31,MONTHLY,CurveChg,-0.36
2019/01/31,MONTHLY,CurveChg,-0.25
2019/02/28,MONTHLY,CurveChg,-0.04
2019/03/31,MONTHLY,CurveChg,-0.11
2019/04/30,MONTHLY,CurveChg,-0.05
2019/05/31,MONTHLY,CurveChg,-0.1
2019/06/30,MONTHLY,CurveChg,-0.32
2019/07/31,MONTHLY,CurveChg,-0.03
2019/08/31,MONTHLY,CurveChg,-0.16
2019/09/30,MONTHLY,CurveChg,0.16
2019/10/31,MONTHLY,CurveChg,0.22
2019/11/30,MONTHLY,CurveChg,0.38
2019/12/31,MONTHLY,CurveChg,0.05
2020/01/31,MONTHLY,CurveChg,-0.1
2020/02/29,MONTHLY,CurveChg,-0.29
2020/03/31,MONTHLY,CurveChg,0.3
2020/04/30,MONTHLY,CurveChg,0.39
2020/05/31,MONTHLY,CurveChg,0.01
2020/06/30,MONTHLY,CurveChg,0.03
2020/07/31,MONTHLY,CurveChg,-0.12
2020/08/31,MONTHLY,CurveChg,0.02
2020/09/30,MONTHLY,CurveChg,0.04
2020/10/31,MONTHLY,CurveChg,0.11
2020/11/30,MONTHLY,CurveChg,0.08
2020/12/31,MONTHLY,CurveChg,0.06
2021/01/31,MONTHLY,CurveChg,0.15
2021/02/28,MONTHLY,CurveChg,0.19
2021/03/31,MONTHLY,CurveChg,0.36
2021/04/30,MONTHLY,CurveChg,0.03
2021/05/31,MONTHLY,CurveChg,-0.01
2021/06/30,MONTHLY,CurveChg,-0.12
2021/07/31,MONTHLY,CurveChg,-0.22
2021/08/31,MONTHLY,CurveChg,-0.03
2021/09/30,MONTHLY,CurveChg,0.1
2010/01/31,MONTHLY,HiYieldSpreadChg,0.15
2010/02/28,MONTHLY,HiYieldSpreadChg,0.17
2010/03/31,MONTHLY,HiYieldSpreadChg,-0.87
2010/04/30,MONTHLY,HiYieldSpreadChg,-0.23
2010/05/31,MONTHLY,HiYieldSpreadChg,1.37
2010/06/30,MONTHLY,HiYieldSpreadChg,0.15
2010/07/31,MONTHLY,HiYieldSpreadChg,-0.54
2010/08/31,MONTHLY,HiYieldSpreadChg,0.33
2010/09/30,MONTHLY,HiYieldSpreadChg,-0.66
2010/10/31,MONTHLY,HiYieldSpreadChg,-0.33
2010/11/30,MONTHLY,HiYieldSpreadChg,0.29
2010/12/31,MONTHLY,HiYieldSpreadChg,-0.81
2011/01/31,MONTHLY,HiYieldSpreadChg,-0.33
2011/02/28,MONTHLY,HiYieldSpreadChg,-0.3
2011/03/31,MONTHLY,HiYieldSpreadChg,-0.01
2011/04/30,MONTHLY,HiYieldSpreadChg,-0.01
2011/05/31,MONTHLY,HiYieldSpreadChg,0.33
2011/06/30,MONTHLY,HiYieldSpreadChg,0.33
2011/07/31,MONTHLY,HiYieldSpreadChg,0.16
2011/08/31,MONTHLY,HiYieldSpreadChg,1.72
2011/09/30,MONTHLY,HiYieldSpreadChg,1.11
2011/10/31,MONTHLY,HiYieldSpreadChg,-1.34
2011/11/30,MONTHLY,HiYieldSpreadChg,0.72
2011/12/31,MONTHLY,HiYieldSpreadChg,-0.56
2012/01/31,MONTHLY,HiYieldSpreadChg,-0.62
2012/02/29,MONTHLY,HiYieldSpreadChg,-0.63
2012/03/31,MONTHLY,HiYieldSpreadChg,0.01
2012/04/30,MONTHLY,HiYieldSpreadChg,0.05
2012/05/31,MONTHLY,HiYieldSpreadChg,0.92
2012/06/30,MONTHLY,HiYieldSpreadChg,-0.52
2012/07/31,MONTHLY,HiYieldSpreadChg,-0.28
2012/08/31,MONTHLY,HiYieldSpreadChg,-0.18
2012/09/30,MONTHLY,HiYieldSpreadChg,-0.24
2012/10/31,MONTHLY,HiYieldSpreadChg,-0.11
2012/11/30,MONTHLY,HiYieldSpreadChg,0.02
2012/12/31,MONTHLY,HiYieldSpreadChg,-0.31
2013/01/31,MONTHLY,HiYieldSpreadChg,-0.39
2013/02/28,MONTHLY,HiYieldSpreadChg,0.03
2013/03/31,MONTHLY,HiYieldSpreadChg,-0.12
2013/04/30,MONTHLY,HiYieldSpreadChg,-0.31
2013/05/31,MONTHLY,HiYieldSpreadChg,0.07
2013/06/30,MONTHLY,HiYieldSpreadChg,0.59
2013/07/31,MONTHLY,HiYieldSpreadChg,-0.5
2013/08/31,MONTHLY,HiYieldSpreadChg,0.05
2013/09/30,MONTHLY,HiYieldSpreadChg,0.07
2013/10/31,MONTHLY,HiYieldSpreadChg,-0.47
2013/11/30,MONTHLY,HiYieldSpreadChg,-0.09
2013/12/31,MONTHLY,HiYieldSpreadChg,-0.27
2014/01/31,MONTHLY,HiYieldSpreadChg,0.21
2014/02/28,MONTHLY,HiYieldSpreadChg,-0.4
2014/03/31,MONTHLY,HiYieldSpreadChg,-0.04
2014/04/30,MONTHLY,HiYieldSpreadChg,-0.06
2014/05/31,MONTHLY,HiYieldSpreadChg,-0.04
2014/06/30,MONTHLY,HiYieldSpreadChg,-0.14
2014/07/31,MONTHLY,HiYieldSpreadChg,0.51
2014/08/31,MONTHLY,HiYieldSpreadChg,-0.2
2014/09/30,MONTHLY,HiYieldSpreadChg,0.56
2014/10/31,MONTHLY,HiYieldSpreadChg,-0.1
2014/11/30,MONTHLY,HiYieldSpreadChg,0.37
2014/12/31,MONTHLY,HiYieldSpreadChg,0.37
2015/01/31,MONTHLY,HiYieldSpreadChg,0.22
2015/02/28,MONTHLY,HiYieldSpreadChg,-0.8
2015/03/31,MONTHLY,HiYieldSpreadChg,0.36
2015/04/30,MONTHLY,HiYieldSpreadChg,-0.23
2015/05/31,MONTHLY,HiYieldSpreadChg,-0.01
2015/06/30,MONTHLY,HiYieldSpreadChg,0.42
2015/07/31,MONTHLY,HiYieldSpreadChg,0.36
2015/08/31,MONTHLY,HiYieldSpreadChg,0.34
2015/09/30,MONTHLY,HiYieldSpreadChg,0.92
2015/10/31,MONTHLY,HiYieldSpreadChg,-0.72
2015/11/30,MONTHLY,HiYieldSpreadChg,0.5
2015/12/31,MONTHLY,HiYieldSpreadChg,0.55
2016/01/31,MONTHLY,HiYieldSpreadChg,0.82
2016/02/29,MONTHLY,HiYieldSpreadChg,-0.02
2016/03/31,MONTHLY,HiYieldSpreadChg,-0.7
2016/04/30,MONTHLY,HiYieldSpreadChg,-0.84
2016/05/31,MONTHLY,HiYieldSpreadChg,-0.24
2016/06/30,MONTHLY,HiYieldSpreadChg,0.24
2016/07/31,MONTHLY,HiYieldSpreadChg,-0.52
2016/08/31,MONTHLY,HiYieldSpreadChg,-0.59
2016/09/30,MONTHLY,HiYieldSpreadChg,-0.13
2016/10/31,MONTHLY,HiYieldSpreadChg,-0.06
2016/11/30,MONTHLY,HiYieldSpreadChg,-0.24
2016/12/31,MONTHLY,HiYieldSpreadChg,-0.45
2017/01/31,MONTHLY,HiYieldSpreadChg,-0.22
2017/02/28,MONTHLY,HiYieldSpreadChg,-0.26
2017/03/31,MONTHLY,HiYieldSpreadChg,0.18
2017/04/30,MONTHLY,HiYieldSpreadChg,-0.11
2017/05/31,MONTHLY,HiYieldSpreadChg,-0.07
2017/06/30,MONTHLY,HiYieldSpreadChg,0.01
2017/07/31,MONTHLY,HiYieldSpreadChg,-0.14
2017/08/31,MONTHLY,HiYieldSpreadChg,0.24
2017/09/30,MONTHLY,HiYieldSpreadChg,-0.29
2017/10/31,MONTHLY,HiYieldSpreadChg,-0.05
2017/11/30,MONTHLY,HiYieldSpreadChg,0.1
2017/12/31,MONTHLY,HiYieldSpreadChg,0.02
2018/01/31,MONTHLY,HiYieldSpreadChg,-0.34
2018/02/28,MONTHLY,HiYieldSpreadChg,0.18
2018/03/31,MONTHLY,HiYieldSpreadChg,0.25
2018/04/30,MONTHLY,HiYieldSpreadChg,-0.26
2018/05/31,MONTHLY,HiYieldSpreadChg,0.17
2018/06/30,MONTHLY,HiYieldSpreadChg,0.08
2018/07/31,MONTHLY,HiYieldSpreadChg,-0.25
2018/08/31,MONTHLY,HiYieldSpreadChg,0.03
2018/09/30,MONTHLY,HiYieldSpreadChg,-0.21
2018/10/31,MONTHLY,HiYieldSpreadChg,0.53
2018/11/30,MONTHLY,HiYieldSpreadChg,0.48
2018/12/31,MONTHLY,HiYieldSpreadChg,1.04
2019/01/31,MONTHLY,HiYieldSpreadChg,-0.96
2019/02/28,MONTHLY,HiYieldSpreadChg,-0.45
2019/03/31,MONTHLY,HiYieldSpreadChg,0.13
2019/04/30,MONTHLY,HiYieldSpreadChg,-0.32
2019/05/31,MONTHLY,HiYieldSpreadChg,0.86
2019/06/30,MONTHLY,HiYieldSpreadChg,-0.52
2019/07/31,MONTHLY,HiYieldSpreadChg,-0.14
2019/08/31,MONTHLY,HiYieldSpreadChg,0.2
2019/09/30,MONTHLY,HiYieldSpreadChg,-0.11
2019/10/31,MONTHLY,HiYieldSpreadChg,0.13
2019/11/30,MONTHLY,HiYieldSpreadChg,-0.13
2019/12/31,MONTHLY,HiYieldSpreadChg,-0.42
2020/01/31,MONTHLY,HiYieldSpreadChg,0.43
2020/02/29,MONTHLY,HiYieldSpreadChg,1.03
2020/03/31,MONTHLY,HiYieldSpreadChg,3.71
2020/04/30,MONTHLY,HiYieldSpreadChg,-1.14
2020/05/31,MONTHLY,HiYieldSpreadChg,-1.09
2020/06/30,MONTHLY,HiYieldSpreadChg,-0.1
2020/07/31,MONTHLY,HiYieldSpreadChg,-1.28
2020/08/31,MONTHLY,HiYieldSpreadChg,-0.14
2020/09/30,MONTHLY,HiYieldSpreadChg,0.39
2020/10/31,MONTHLY,HiYieldSpreadChg,-0.09
2020/11/30,MONTHLY,HiYieldSpreadChg,-0.99
2020/12/31,MONTHLY,HiYieldSpreadChg,-0.47
2021/01/31,MONTHLY,HiYieldSpreadChg,-0.02
2021/02/28,MONTHLY,HiYieldSpreadChg,-0.27
2021/03/31,MONTHLY,HiYieldSpreadChg,-0.21
2021/04/30,MONTHLY,HiYieldSpreadChg,-0.08
2021/05/31,MONTHLY,HiYieldSpreadChg,0.06
2021/06/30,MONTHLY,HiYieldSpreadChg,-0.3
2021/07/31,MONTHLY,HiYieldSpreadChg,0.28
2021/08/31,MONTHLY,HiYieldSpreadChg,-0.11
2021/09/30,MONTHLY,HiYieldSpreadChg,-0.06
2010/01/31,MONTHLY,BBBSpreadChg,-0.18
2010/02/28,MONTHLY,BBBSpreadChg,0.03
2010/03/31,MONTHLY,BBBSpreadChg,-0.28
2010/04/30,MONTHLY,BBBSpreadChg,-0.08
2010/05/31,MONTHLY,BBBSpreadChg,0.54
2010/06/30,MONTHLY,BBBSpreadChg,0.12
2010/07/31,MONTHLY,BBBSpreadChg,-0.22
2010/08/31,MONTHLY,BBBSpreadChg,0.08
2010/09/30,MONTHLY,BBBSpreadChg,-0.12
2010/10/31,MONTHLY,BBBSpreadChg,-0.11
2010/11/30,MONTHLY,BBBSpreadChg,0.02
2010/12/31,MONTHLY,BBBSpreadChg,-0.17
2011/01/31,MONTHLY,BBBSpreadChg,-0.07
2011/02/28,MONTHLY,BBBSpreadChg,-0.1
2011/03/31,MONTHLY,BBBSpreadChg,-0.05
2011/04/30,MONTHLY,BBBSpreadChg,-0.03
2011/05/31,MONTHLY,BBBSpreadChg,0.1
2011/06/30,MONTHLY,BBBSpreadChg,0.07
2011/07/31,MONTHLY,BBBSpreadChg,0.01
2011/08/31,MONTHLY,BBBSpreadChg,0.62
2011/09/30,MONTHLY,BBBSpreadChg,0.44
2011/10/31,MONTHLY,BBBSpreadChg,-0.37
2011/11/30,MONTHLY,BBBSpreadChg,0.41
2011/12/31,MONTHLY,BBBSpreadChg,0.01
2012/01/31,MONTHLY,BBBSpreadChg,-0.28
2012/02/29,MONTHLY,BBBSpreadChg,-0.32
2012/03/31,MONTHLY,BBBSpreadChg,-0.12
2012/04/30,MONTHLY,BBBSpreadChg,0.12
2012/05/31,MONTHLY,BBBSpreadChg,0.3
2012/06/30,MONTHLY,BBBSpreadChg,-0.1
2012/07/31,MONTHLY,BBBSpreadChg,-0.2
2012/08/31,MONTHLY,BBBSpreadChg,-0.1
2012/09/30,MONTHLY,BBBSpreadChg,-0.2
2012/10/31,MONTHLY,BBBSpreadChg,-0.23
2012/11/30,MONTHLY,BBBSpreadChg,0.11
2012/12/31,MONTHLY,BBBSpreadChg,-0.09
2013/01/31,MONTHLY,BBBSpreadChg,-0.09
2013/02/28,MONTHLY,BBBSpreadChg,0.04
2013/03/31,MONTHLY,BBBSpreadChg,0.02
2013/04/30,MONTHLY,BBBSpreadChg,-0.05
2013/05/31,MONTHLY,BBBSpreadChg,-0.01
2013/06/30,MONTHLY,BBBSpreadChg,0.26
2013/07/31,MONTHLY,BBBSpreadChg,-0.14
2013/08/31,MONTHLY,BBBSpreadChg,0.04
2013/09/30,MONTHLY,BBBSpreadChg,-0.02
2013/10/31,MONTHLY,BBBSpreadChg,-0.15
2013/11/30,MONTHLY,BBBSpreadChg,-0.03
2013/12/31,MONTHLY,BBBSpreadChg,-0.17
2014/01/31,MONTHLY,BBBSpreadChg,0.04
2014/02/28,MONTHLY,BBBSpreadChg,-0.12
2014/03/31,MONTHLY,BBBSpreadChg,-0.05
2014/04/30,MONTHLY,BBBSpreadChg,-0.07
2014/05/31,MONTHLY,BBBSpreadChg,-0.04
2014/06/30,MONTHLY,BBBSpreadChg,-0.06
2014/07/31,MONTHLY,BBBSpreadChg,0.03
2014/08/31,MONTHLY,BBBSpreadChg,0.03
2014/09/30,MONTHLY,BBBSpreadChg,0.09
2014/10/31,MONTHLY,BBBSpreadChg,0.08
2014/11/30,MONTHLY,BBBSpreadChg,0.13
2014/12/31,MONTHLY,BBBSpreadChg,0.18
2015/01/31,MONTHLY,BBBSpreadChg,0.15
2015/02/28,MONTHLY,BBBSpreadChg,-0.33
2015/03/31,MONTHLY,BBBSpreadChg,0.02
2015/04/30,MONTHLY,BBBSpreadChg,-0.03
2015/05/31,MONTHLY,BBBSpreadChg,0.04
2015/06/30,MONTHLY,BBBSpreadChg,0.1
2015/07/31,MONTHLY,BBBSpreadChg,0.14
2015/08/31,MONTHLY,BBBSpreadChg,0.17
2015/09/30,MONTHLY,BBBSpreadChg,0.16
2015/10/31,MONTHLY,BBBSpreadChg,-0.17
2015/11/30,MONTHLY,BBBSpreadChg,-0.01
2015/12/31,MONTHLY,BBBSpreadChg,0.19
2016/01/31,MONTHLY,BBBSpreadChg,0.38
2016/02/29,MONTHLY,BBBSpreadChg,0.03
2016/03/31,MONTHLY,BBBSpreadChg,-0.51
2016/04/30,MONTHLY,BBBSpreadChg,-0.24
2016/05/31,MONTHLY,BBBSpreadChg,0
2016/06/30,MONTHLY,BBBSpreadChg,0.06
2016/07/31,MONTHLY,BBBSpreadChg,-0.16
2016/08/31,MONTHLY,BBBSpreadChg,-0.14
2016/09/30,MONTHLY,BBBSpreadChg,0.02
2016/10/31,MONTHLY,BBBSpreadChg,-0.07
2016/11/30,MONTHLY,BBBSpreadChg,-0.03
2016/12/31,MONTHLY,BBBSpreadChg,-0.09
2017/01/31,MONTHLY,BBBSpreadChg,-0.05
2017/02/28,MONTHLY,BBBSpreadChg,-0.07
2017/03/31,MONTHLY,BBBSpreadChg,0.03
2017/04/30,MONTHLY,BBBSpreadChg,-0.02
2017/05/31,MONTHLY,BBBSpreadChg,-0.05
2017/06/30,MONTHLY,BBBSpreadChg,-0.01
2017/07/31,MONTHLY,BBBSpreadChg,-0.08
2017/08/31,MONTHLY,BBBSpreadChg,0.07
2017/09/30,MONTHLY,BBBSpreadChg,-0.11
2017/10/31,MONTHLY,BBBSpreadChg,-0.07
2017/11/30,MONTHLY,BBBSpreadChg,0.02
2017/12/31,MONTHLY,BBBSpreadChg,-0.04
2018/01/31,MONTHLY,BBBSpreadChg,-0.11
2018/02/28,MONTHLY,BBBSpreadChg,0.11
2018/03/31,MONTHLY,BBBSpreadChg,0.17
2018/04/30,MONTHLY,BBBSpreadChg,-0.01
2018/05/31,MONTHLY,BBBSpreadChg,0.1
2018/06/30,MONTHLY,BBBSpreadChg,0.09
2018/07/31,MONTHLY,BBBSpreadChg,-0.16
2018/08/31,MONTHLY,BBBSpreadChg,0.06
2018/09/30,MONTHLY,BBBSpreadChg,-0.1
2018/10/31,MONTHLY,BBBSpreadChg,0.15
2018/11/30,MONTHLY,BBBSpreadChg,0.26
2018/12/31,MONTHLY,BBBSpreadChg,0.18
2019/01/31,MONTHLY,BBBSpreadChg,-0.23
2019/02/28,MONTHLY,BBBSpreadChg,-0.11
2019/03/31,MONTHLY,BBBSpreadChg,-0.05
2019/04/30,MONTHLY,BBBSpreadChg,-0.13
2019/05/31,MONTHLY,BBBSpreadChg,0.21
2019/06/30,MONTHLY,BBBSpreadChg,-0.14
2019/07/31,MONTHLY,BBBSpreadChg,-0.1
2019/08/31,MONTHLY,BBBSpreadChg,0.15
2019/09/30,MONTHLY,BBBSpreadChg,-0.06
2019/10/31,MONTHLY,BBBSpreadChg,-0.06
2019/11/30,MONTHLY,BBBSpreadChg,-0.06
2019/12/31,MONTHLY,BBBSpreadChg,-0.14
2020/01/31,MONTHLY,BBBSpreadChg,0.09
2020/02/29,MONTHLY,BBBSpreadChg,0.25
2020/03/31,MONTHLY,BBBSpreadChg,2.32
2020/04/30,MONTHLY,BBBSpreadChg,-1.14
2020/05/31,MONTHLY,BBBSpreadChg,-0.38
2020/06/30,MONTHLY,BBBSpreadChg,-0.37
2020/07/31,MONTHLY,BBBSpreadChg,-0.22
2020/08/31,MONTHLY,BBBSpreadChg,-0.09
2020/09/30,MONTHLY,BBBSpreadChg,0.08
2020/10/31,MONTHLY,BBBSpreadChg,-0.13
2020/11/30,MONTHLY,BBBSpreadChg,-0.28
2020/12/31,MONTHLY,BBBSpreadChg,-0.13
2021/01/31,MONTHLY,BBBSpreadChg,-0.02
2021/02/28,MONTHLY,BBBSpreadChg,-0.09
2021/03/31,MONTHLY,BBBSpreadChg,0
2021/04/30,MONTHLY,BBBSpreadChg,-0.02
2021/05/31,MONTHLY,BBBSpreadChg,-0.04
2021/06/30,MONTHLY,BBBSpreadChg,-0.06
2021/07/31,MONTHLY,BBBSpreadChg,0.06
2021/08/31,MONTHLY,BBBSpreadChg,0.01
2021/09/30,MONTHLY,BBBSpreadChg,-0.04
