month,factor_name,BMG
2010-01-31,DEFAULT,-0.0138682
2010-02-28,DEFAULT,0.0115533
2010-03-31,DEFAULT,0.008256
2010-04-30,DEFAULT,0.0051735
2010-05-31,DEFAULT,0.0030424
2010-06-30,DEFAULT,-0.0183815
2010-07-31,DEFAULT,0.0138039
2010-08-31,DEFAULT,0.0268925
2010-09-30,DEFAULT,-0.0258776
2010-10-31,DEFAULT,0.0007104
2010-11-30,DEFAULT,0.0276225
2010-12-31,DEFAULT,0.0179288
2011-01-31,DEFAULT,-0.0132926
2011-02-28,DEFAULT,0.0227185
2011-03-31,DEFAULT,0.0009869
2011-04-30,DEFAULT,-0.02128
2011-05-31,DEFAULT,-0.0105789
2011-06-30,DEFAULT,-0.0040318
2011-07-31,DEFAULT,0.0290342
2011-08-31,DEFAULT,0.0075289
2011-09-30,DEFAULT,-0.0290845
2011-10-31,DEFAULT,0.0378787
2011-11-30,DEFAULT,0.0062649
2011-12-31,DEFAULT,0.0009356
2012-01-31,DEFAULT,0.0139825
2012-02-29,DEFAULT,-0.0089947
2012-03-31,DEFAULT,-0.0470316
2012-04-30,DEFAULT,0.0132511
2012-05-31,DEFAULT,-0.0069094
2012-06-30,DEFAULT,-0.0040228
2012-07-31,DEFAULT,0.0183837
2012-08-31,DEFAULT,-0.0178929
2012-09-30,DEFAULT,0.0107945
2012-10-31,DEFAULT,0.0046853
2012-11-30,DEFAULT,-0.0313954
2012-12-31,DEFAULT,0.0083701
2013-01-31,DEFAULT,-0.0246589
2013-02-28,DEFAULT,-0.0091194
2013-03-31,DEFAULT,-0.0149419
2013-04-30,DEFAULT,-0.0281904
2013-05-31,DEFAULT,-0.0228303
2013-06-30,DEFAULT,-0.0181103
2013-07-31,DEFAULT,-0.0043425
2013-08-31,DEFAULT,0.0072349
2013-09-30,DEFAULT,-0.0192757
2013-10-31,DEFAULT,0.0046772
2013-11-30,DEFAULT,-0.0229326
2013-12-31,DEFAULT,-0.0002333
2014-01-31,DEFAULT,-0.0032542
2014-02-28,DEFAULT,-0.0033101
2014-03-31,DEFAULT,0.0131115
2014-04-30,DEFAULT,0.0054642
2014-05-31,DEFAULT,-0.0051414
2014-06-30,DEFAULT,0.0206847
2014-07-31,DEFAULT,0.0022947
2014-08-31,DEFAULT,0.0015625
2014-09-30,DEFAULT,-0.0398225
2014-10-31,DEFAULT,-0.0098172
2014-11-30,DEFAULT,-0.052712
2014-12-31,DEFAULT,0.0035619
2015-01-31,DEFAULT,-0.0080825
2015-02-28,DEFAULT,-0.0039698
2015-03-31,DEFAULT,-0.0222102
2015-04-30,DEFAULT,0.0366796
2015-05-31,DEFAULT,-0.0286232
2015-06-30,DEFAULT,-0.0165697
2015-07-31,DEFAULT,-0.0438035
2015-08-31,DEFAULT,-0.0022263
2015-09-30,DEFAULT,-0.0118756
2015-10-31,DEFAULT,-1.93E-05
2015-11-30,DEFAULT,-0.0234943
2015-12-31,DEFAULT,-0.0200108
2016-01-31,DEFAULT,0.0055395
2016-02-29,DEFAULT,0.030121
2016-03-31,DEFAULT,0.0194687
2016-04-30,DEFAULT,0.036406
2016-05-31,DEFAULT,-0.0205615
2016-06-30,DEFAULT,0.0260655
2016-07-31,DEFAULT,-0.0078545
2016-08-31,DEFAULT,-0.008267
2016-09-30,DEFAULT,0.0084941
2016-10-31,DEFAULT,0.0084955
2016-11-30,DEFAULT,0.0290174
2016-12-31,DEFAULT,-0.0085018
2017-01-31,DEFAULT,0.0422145
2017-02-28,DEFAULT,-0.0134343
2017-03-31,DEFAULT,-0.0186325
2017-04-30,DEFAULT,-0.0184542
2017-05-31,DEFAULT,-0.0174654
2017-06-30,DEFAULT,0.0106684
2017-07-31,DEFAULT,0.0045536
2017-08-31,DEFAULT,0.0039976
2017-09-30,DEFAULT,-0.0015708
2017-10-31,DEFAULT,-0.0136695
2017-11-30,DEFAULT,0.0103312
2017-12-31,DEFAULT,0.0092837
2018-01-31,DEFAULT,-0.0045807
2018-02-28,DEFAULT,-0.003333
2018-03-31,DEFAULT,0.0124664
2018-04-30,DEFAULT,0.0126843
2018-05-31,DEFAULT,0.0011393
2018-06-30,DEFAULT,0.0045327
2018-07-31,DEFAULT,-0.0111695
2018-08-31,DEFAULT,-0.023356
2018-09-30,DEFAULT,-0.0028106
2018-10-31,DEFAULT,-0.0059462
2018-11-30,DEFAULT,0.0029488
2018-12-31,DEFAULT,0.0168584